N,Drone,Truck Diesel Medium,Petit Van Diesel,Truck Électrique Medium,Petit Van Électrique
121,19.36,90.53613899091089,40.32973464140576,31.276120742314667,13.580420848636631
122,19.52,90.54094614957953,40.33187601208543,31.27778139712747,13.581141922436927
123,19.68,90.54567415019089,40.33398212144867,31.279414706429577,13.581851122528633
124,19.84,90.55032493148651,40.33605383311672,31.281021339968067,13.582548739722977
125,20.0,90.55490036942464,40.33809198274371,31.28260194580124,13.583235055413697
126,20.16,90.55940227970041,40.34009737913927,31.28415715116923,13.58391034195506
127,20.32,90.56383242014601,40.34207080533777,31.285687563323165,13.584574863021901
128,20.48,90.56819249301692,40.34401301961663,31.287193770314936,13.585228873952538
129,20.64,90.57248414717057,40.3459247564669,31.288676341749834,13.585872622075586
130,20.8,90.57670898014342,40.34780672751844,31.29013582950409,13.586506347021514
131,20.96,90.58086854013183,40.349659622422365,31.29157276840918,13.587130281019775
132,21.12,90.58496432788185,40.35148410969283,31.292987676904637,13.587744649182277
133,21.28,90.58899779849298,40.35328083751051,31.294381057661212,13.588349669773947
134,21.44,90.59297036314004,40.35505043448966,31.295753398175652,13.588945554471007
135,21.6,90.59688339071802,40.35679351041076,31.297105171338952,13.589532508607702
136,21.76,90.60073820941325,40.35851065692045,31.29843683597912,13.590110731411988
137,21.92,90.60453610820525,40.360202448200525,31.299748837379997,13.590680416230787
138,22.080000000000002,90.60827833830253,40.36186944160749,31.301041607777236,13.591241750745379
139,22.240000000000002,90.61196611451575,40.363512178284296,31.302315566832714,13.591794917177362
140,22.400000000000002,90.61560061657148,40.36513118374548,31.303571122088332,13.592340092485722
141,22.56,90.6191829903694,40.36672696843728,31.304808669400334,13.592877448555408
142,22.72,90.62271434918574,40.36830002827365,31.306028593355073,13.59340715237786
143,22.88,90.62619577482613,40.36985084514983,31.307231267667206,13.593929366223918
144,23.04,90.6296283187293,40.37137988743396,31.30841705556103,13.594444247809394
145,23.2,90.63301300302517,40.37288761043848,31.309586310135963,13.594951950453774
146,23.36,90.6363508215488,40.37437445687175,31.31073937471686,13.59545262323232
147,23.52,90.63964274081256,40.37584085727106,31.311876583189793,13.595946411121885
148,23.68,90.64288970093851,40.37728723041807,31.31299826032421,13.596433455140776
149,23.84,90.6460926165528,40.378713983737164,31.31410472208188,13.59691389248292
150,24.0,90.6492523776441,40.38012151367783,31.315196275913415,13.597387856646614
151,24.16,90.65236985038749,40.38151020608171,31.31627322104295,13.597855477558124
152,24.32,90.65544587793539,40.382880436534855,31.317335848741315,13.598316881690307
153,24.48,90.65848128117747,40.38423257070633,31.318384442588577,13.59877219217662
154,24.64,90.66147685947043,40.385566964673195,31.319419278726144,13.599221528920562
155,24.8,90.66443339133929,40.386883965232954,31.32044062609902,13.59966500870089
156,24.96,90.66735163515153,40.388183910203864,31.32144874668871,13.600102745272729
157,25.12,90.67023232976527,40.38946712871362,31.322443895737088,13.600534849464788
158,25.28,90.67307619515238,40.390733941476974,31.32342632196173,13.600961429272855
159,25.44,90.67588393299808,40.391984661062786,31.32439626776297,13.601382589949711
160,25.6,90.6786562272778,40.39321959215102,31.325353969423237,13.601798434091668
161,25.76,90.68139374481227,40.39443903178002,31.326299657298783,13.60220906172184
162,25.92,90.68409713580192,40.39564326958449,31.327233556004295,13.602614570370287
163,26.080000000000002,90.68676703434141,40.39683258802482,31.32815588459067,13.603015055151213
164,26.240000000000002,90.68940405891519,40.39800726260768,31.329066856716157,13.603410608837278
165,26.400000000000002,90.69200881287483,40.39916756209879,31.329966680811303,13.603801321931224
166,26.560000000000002,90.69458188489901,40.40031374872774,31.330855560237836,13.60418728273485
167,26.72,90.69712384943678,40.401446078385476,31.331733693441794,13.604568577415517
168,26.88,90.69963526713494,40.40256480081465,31.332601274101158,13.604945290070239
169,27.04,90.70211668524985,40.403670159793116,31.33345849126813,13.605317502787477
170,27.2,90.70456863804498,40.404762393310946,31.334305529506445,13.605685295706746
